Epoch 2 Batch 260, Loss: 0.20187781751155853
Epoch 2 Batch 270, Loss: 0.05965288355946541
Epoch 2 Batch 280, Loss: 0.10353244096040726
Epoch 2 Batch 290, Loss: 0.09538976848125458
Epoch 2 Batch 300, Loss: 0.13503748178482056
Epoch 2 Batch 310, Loss: 0.18064817786216736
Epoch 2 Batch 320, Loss: 0.3144436180591583
Epoch 2 Batch 330, Loss: 0.16375581920146942
Epoch 2 Batch 340, Loss: 0.040359240025281906
Epoch 2 Batch 350, Loss: 0.3890208601951599
Epoch 2 Batch 360, Loss: 0.11764739453792572
Epoch 2 Batch 370, Loss: 0.18639780580997467
Epoch 2 Batch 380, Loss: 0.0664716511964798
Epoch 2 Batch 390, Loss: 0.26892971992492676
Epoch 2 Batch 400, Loss: 0.1186210960149765
Epoch 2 Batch 410, Loss: 0.23155200481414795
Epoch 2 Batch 420, Loss: 0.12420947849750519
Epoch 2 Batch 430, Loss: 0.07404579967260361
Epoch 2 Batch 440, Loss: 0.2974950075149536
Epoch 2 Batch 450, Loss: 0.3469372093677521
Epoch 2 Batch 460, Loss: 0.4321083426475525
Epoch 2 Batch 470, Loss: 0.03914819657802582
Epoch 2 Batch 480, Loss: 0.022931406274437904
Epoch 2 Batch 490, Loss: 0.1949830800294876
Epoch 2 Batch 500, Loss: 0.041355520486831665
Epoch 2 Batch 510, Loss: 0.11157279461622238
Epoch 2 Batch 520, Loss: 0.1822756677865982
Epoch 2 Batch 530, Loss: 0.03550628945231438
Epoch 2 Batch 540, Loss: 0.4572755694389343
Epoch 2 Batch 550, Loss: 0.09766427427530289
Epoch 2 Batch 560, Loss: 0.29330921173095703
Epoch 2 Batch 570, Loss: 0.47010353207588196
Epoch 2 Batch 580, Loss: 0.212589293718338
Epoch 2 Batch 590, Loss: 0.05910100042819977
Epoch 2 Batch 600, Loss: 0.047721121460199356
Epoch 2 Batch 610, Loss: 0.07076258957386017
Epoch 2 Batch 620, Loss: 0.04675833508372307
Epoch 2 Batch 630, Loss: 0.1819002330303192
Epoch 2 Batch 640, Loss: 0.04310339689254761
Epoch 2 Batch 650, Loss: 0.047843437641859055
Epoch 2 Batch 660, Loss: 0.05124447122216225
Epoch 2 Batch 670, Loss: 0.16453948616981506
Epoch 2 Batch 680, Loss: 0.08727731555700302
Epoch 2 Batch 690, Loss: 0.10942064225673676
Epoch 2 Batch 700, Loss: 0.1305740624666214
Epoch 2 Batch 710, Loss: 0.044384248554706573
Epoch 2 Batch 720, Loss: 0.07193733751773834
Epoch 2 Batch 730, Loss: 0.07421067357063293
Epoch 2 Batch 740, Loss: 0.09694021940231323
Epoch 2 Batch 750, Loss: 0.07041531056165695
Epoch 2 Batch 760, Loss: 0.08323235809803009
Epoch 2 Batch 770, Loss: 0.2623090147972107
Epoch 2 Batch 780, Loss: 0.04111601412296295
Epoch 2 Batch 790, Loss: 0.23682725429534912
Epoch 2 Batch 800, Loss: 0.07659618556499481
Epoch 2 Batch 810, Loss: 0.08416976779699326
Epoch 2 Batch 820, Loss: 0.10304325073957443
Epoch 2 Batch 830, Loss: 0.3491051197052002
Epoch 2 Batch 840, Loss: 0.21949851512908936
Epoch 2 Batch 850, Loss: 0.18634507060050964
Epoch 2 Batch 860, Loss: 0.0573137030005455
Epoch 2 Batch 870, Loss: 0.11729153990745544
Epoch 2 Batch 880, Loss: 0.031207580119371414
Epoch 2 Batch 890, Loss: 0.060346733778715134
Epoch 2 Batch 900, Loss: 0.031441088765859604
Epoch 2 Batch 910, Loss: 0.33600783348083496
Epoch 2 Batch 920, Loss: 0.1898525506258011
Epoch 2 Batch 930, Loss: 0.04761022329330444
Epoch 3 Batch 0, Loss: 0.058440037071704865
Epoch 3 Batch 10, Loss: 0.013387936167418957
Epoch 3 Batch 20, Loss: 0.05135136842727661
Epoch 3 Batch 30, Loss: 0.09766854345798492
Epoch 3 Batch 40, Loss: 0.032593030482530594
Epoch 3 Batch 50, Loss: 0.10781027376651764
Epoch 3 Batch 60, Loss: 0.20736920833587646
Epoch 3 Batch 70, Loss: 0.09922293573617935
Epoch 3 Batch 80, Loss: 0.15807048976421356
Epoch 3 Batch 90, Loss: 0.03441959619522095
Epoch 3 Batch 100, Loss: 0.14340731501579285
Epoch 3 Batch 110, Loss: 0.05083484947681427
Epoch 3 Batch 120, Loss: 0.09459564089775085
Epoch 3 Batch 130, Loss: 0.03511463478207588
Epoch 3 Batch 140, Loss: 0.10012070089578629
Epoch 3 Batch 150, Loss: 0.35857367515563965
Epoch 3 Batch 160, Loss: 0.20868895947933197
Epoch 3 Batch 170, Loss: 0.019225772470235825
Epoch 3 Batch 180, Loss: 0.10259952396154404
Epoch 3 Batch 190, Loss: 0.022227870300412178
Epoch 3 Batch 200, Loss: 0.05009794980287552
Epoch 3 Batch 210, Loss: 0.007444700226187706
Epoch 3 Batch 220, Loss: 0.012496212497353554
Epoch 3 Batch 230, Loss: 0.02880081720650196
Epoch 3 Batch 240, Loss: 0.0459500290453434
Epoch 3 Batch 250, Loss: 0.03843015059828758
Epoch 3 Batch 260, Loss: 0.13303253054618835
Epoch 3 Batch 270, Loss: 0.03440171480178833
Epoch 3 Batch 280, Loss: 0.10191944241523743
Epoch 3 Batch 290, Loss: 0.0515362024307251
Epoch 3 Batch 300, Loss: 0.08211570978164673
Epoch 3 Batch 310, Loss: 0.12527354061603546
